OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106361343,ST. MARY MEDICAL CENTER - APPLE VALLEY,240000207,Parent Facility,18300 US Highway 18,Apple Valley,92307,36,San Bernardino,Emergency - Basic,212,Open,1956-11-16,Hospital,General Acute Care Hospital,34.54053000,-117.26535000
106361370,VICTOR VALLEY GLOBAL MEDICAL CENTER,240000218,Parent Facility,15248 11th St,Victorville,92395,36,San Bernardino,Emergency - Basic,101,Open,1964-11-13,Hospital,General Acute Care Hospital,34.52817680,-117.29256220
106361458,COLORADO RIVER MEDICAL CENTER,240000227,Parent Facility,1401 BAILEY AVE,NEEDLES,92363,36,San Bernardino,Emergency - Standby,25,Open,1952-08-11,Hospital,General Acute Care Hospital,34.83250000,-114.61818000
106361768,PATTON STATE HOSPITAL,170000831,Parent Facility,3102 E HIGHLAND AVE,PATTON,92369,36,San Bernardino,Not Applicable,"1,287",Open,1975-09-29,Hospital,Acute Psychiatric Hospital,34.13589000,-117.21957000
106362041,HI-DESERT MEDICAL CENTER,240000231,Parent Facility,6601 WHITE FEATHER RD,JOSHUA TREE,92252,36,San Bernardino,Emergency - Basic,179,Open,1971-06-11,Hospital,General Acute Care Hospital,34.13323000,-116.27654000
106364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,240000281,Parent Facility,1710 BARTON RD,REDLANDS,92373,36,San Bernardino,Not Applicable,89,Open,1988-01-16,Hospital,Acute Psychiatric Hospital,34.04680000,-117.20228000
106364050,CANYON RIDGE HOSPITAL,240000357,Parent Facility,5353 G ST,CHINO,91710,36,San Bernardino,Not Applicable,106,Open,1990-01-11,Hospital,Acute Psychiatric Hospital,34.00985000,-117.68789000
106364121,BALLARD REHABILITATION HOSPITAL,240000502,Parent Facility,1760 W 16TH ST,SAN BERNARDINO,92411,36,San Bernardino,None,60,Open,1993-07-15,Hospital,General Acute Care Hospital,34.12843000,-117.32610000
106364144,DESERT VALLEY HOSPITAL,240000562,Parent Facility,16850 Bear Valley Rd,Victorville,92395,36,San Bernardino,Emergency - Basic,148,Open,1994-08-31,Hospital,General Acute Care Hospital,34.47093000,-117.29778000
106364188,KINDRED HOSPITAL RANCHO,240000652,Parent Facility,10841 WHITE OAK AVE,RANCHO CUCAMONGA,91730,36,San Bernardino,None,55,Open,2005-12-21,Hospital,General Acute Care Hospital,34.10461000,-117.56601000
106364231,ARROWHEAD REGIONAL MEDICAL CENTER,240000197,Parent Facility,400 N. PEPPER AVENUE,COLTON,92324,36,San Bernardino,Emergency - Basic,456,Open,1999-03-30,Hospital,General Acute Care Hospital,34.07163215,-117.35277613
106364265,KAISER FOUNDATION HOSPITAL - ONTARIO,240000159,Consolidated Facility,2295 S VINEYARD AVE,ONTARIO,91761,36,San Bernardino,Emergency - Basic,176,Open,2011-10-26,Hospital,General Acute Care Hospital,34.03275000,-117.61094000
106364268,LOMA LINDA UNIVERSITY SURGICAL HOSPITAL,240000169,Consolidated Facility,26780 Barton Rd,Redlands,92373,36,San Bernardino,None,28,Open,2009-01-02,Hospital,General Acute Care Hospital,34.04827160,-117.22117400
106364430,BARSTOW COMMUNITY HOSPITAL,240000110,Parent Facility,820 E Mountain View St,Barstow,92311,36,San Bernardino,Emergency - Basic,30,Open,2012-10-13,Hospital,General Acute Care Hospital,34.89352630,-117.01688410
106364451,TOTALLY KIDS REHABILITATION HOSPITAL,550002720,Parent Facility,1720 Mountain View Ave,Loma Linda,92354,36,San Bernardino,None,81,Open,2014-06-20,Hospital,General Acute Care Hospital,34.06971000,-117.24371000
106364502,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,550002873,Parent Facility,11234 Anderson St,Loma Linda,92354,36,San Bernardino,None,343,Open,2014-11-16,Hospital,General Acute Care Hospital,34.04915000,-117.26115000
206360023,"SERENE CONGREGATE LIVING, LLC",550004194,Parent Facility,812 Concord Ln,Redlands,92374,36,San Bernardino,Not Applicable,6,Open,2018-01-18,Long Term Care Facility,Congregate Living Health Facility,34.03741000,-117.14834000
206360025,"JUNIPER MANOR, LLC",550004081,Parent Facility,35223 Juniper Ave,Yucaipa,92399,36,San Bernardino,Not Applicable,6,Open,2018-01-04,Long Term Care Facility,Congregate Living Health Facility,34.07187000,-117.03560000
206360042,INLAND CHRISTIAN HOME,240000016,Parent Facility,1950 S MOUNTAIN AVE,ONTARIO,91762,36,San Bernardino,Not Applicable,59,Open,1979-02-16,Long Term Care Facility,Skilled Nursing Facility,34.04214000,-117.67006500
206360077,DEL ROSA VILLA,240000029,Parent Facility,2018 DEL ROSA AVE,SAN BERNARDINO,92404,36,San Bernardino,Not Applicable,104,Open,1981-09-11,Long Term Care Facility,Skilled Nursing Facility,34.13503100,-117.25256500
206360188,DESERT MANOR,240000001,Parent Facility,8515 CHOLLA AVE,YUCCA VALLEY,92284,36,San Bernardino,Not Applicable,58,Open,1985-01-01,Long Term Care Facility,Skilled Nursing Facility,34.09735900,-116.43363300
206360237,APPLE VALLEY CONGREGATE LIVING HEALTH FACILITY,550005416,Parent Facility,Oneida Rd,Apple Valley,92307,36,San Bernardino,Not Applicable,6,Open,2020-03-18,Long Term Care Facility,Congregate Living Health Facility,34.51670000,-117.22332000
206360821,SAVANNAH BEST CARE CONGREGATE HOUSE,550003705,Parent Facility,14434 Savanna St,Adelanto,92301,36,San Bernardino,Not Applicable,6,Open,2017-04-03,Long Term Care Facility,Congregate Living Health Facility,34.51264000,-117.43645000
206361004,"BLUE JAY MANOR, LLC",550003969,Parent Facility,35 Blue Jay Ln,Redlands,92374,36,San Bernardino,Not Applicable,6,Open,2017-10-03,Long Term Care Facility,Congregate Living Health Facility,34.08516000,-117.18321000
206361005,"DESERT VALLEY CONGREGATE LIVING HEALTH FACILITY, INC.",550003852,Parent Facility,20721 Sholic Rd,Apple Valley,92308,36,San Bernardino,Not Applicable,6,Open,2017-04-03,Long Term Care Facility,Congregate Living Health Facility,34.48915000,-117.21166000
206361090,RANCHO MESA CARE CENTER,240000105,Parent Facility,9333 LA Mesa Dr,Rancho Cucamonga,91701,36,San Bernardino,Not Applicable,59,Open,1964-03-09,Long Term Care Facility,Skilled Nursing Facility,34.12339190,-117.60211790
206361102,"ARROWHEAD HEALTHCARE CENTER, LLC",240000109,Parent Facility,4343 N SIERRA WAY,SAN BERNARDINO,92407,36,San Bernardino,Not Applicable,58,Open,1975-04-01,Long Term Care Facility,Skilled Nursing Facility,34.16810000,-117.28487000
206361112,HEALTHCARE CENTER OF BELLA VISTA,240000113,Parent Facility,933 E DEODAR ST,ONTARIO,91764,36,San Bernardino,Not Applicable,59,Open,1965-06-22,Long Term Care Facility,Skilled Nursing Facility,34.08643700,-117.63572400
206361114,HIGHLAND CARE CENTER OF REDLANDS,240000114,Parent Facility,700 E HIGHLAND AVE,REDLANDS,92374,36,San Bernardino,Not Applicable,80,Open,1960-01-18,Long Term Care Facility,Skilled Nursing Facility,34.04526500,-117.16416900
206361122,SIERRA VISTA,240000117,Parent Facility,3455 Highland Ave,Highland,92346,36,San Bernardino,Not Applicable,116,Open,1971-05-28,Long Term Care Facility,Skilled Nursing Facility,34.13575000,-117.21171000
206361129,BROOKSIDE HEALTHCARE CENTER,240000121,Parent Facility,105 TERRACINA BLVD,REDLANDS,92373,36,San Bernardino,Not Applicable,97,Open,1970-09-17,Long Term Care Facility,Skilled Nursing Facility,34.04423200,-117.21169200
206361131,MEADOWS RIDGE CARE CENTER,240000122,Parent Facility,1700 E WASHINGTON ST,COLTON,92324,36,San Bernardino,Not Applicable,99,Open,1971-10-21,Long Term Care Facility,Skilled Nursing Facility,34.04825000,-117.30484000
206361146,CITRUS NURSING CENTER,240000127,Parent Facility,9440 CITRUS AVE,FONTANA,92335,36,San Bernardino,Not Applicable,99,Open,1968-01-01,Long Term Care Facility,Skilled Nursing Facility,34.08253800,-117.45386500
206361150,CALIMESA POST ACUTE,240000236,Parent Facility,13542 2nd St,Yucaipa,92399,36,San Bernardino,Not Applicable,82,Open,1962-01-15,Long Term Care Facility,Skilled Nursing Facility,34.00781000,-117.04326000
206361158,RIALTO POST ACUTE CENTER,240000134,Parent Facility,1471 S RIVERSIDE AVE,RIALTO,92376,36,San Bernardino,Not Applicable,177,Open,1964-10-09,Long Term Care Facility,Skilled Nursing Facility,34.07503800,-117.37003300
206361161,COUNTRY VILLA HEALTHCARE,240000136,Parent Facility,1311 E DATE ST,SAN BERNARDINO,92404,36,San Bernardino,Not Applicable,99,Open,1969-04-09,Long Term Care Facility,Skilled Nursing Facility,34.14116300,-117.25765100
206361165,SPRING VALLEY POST ACUTE LLC,240000140,Parent Facility,14973 HESPERIA RD,VICTORVILLE,92395,36,San Bernardino,Not Applicable,126,Open,1964-03-10,Long Term Care Facility,Skilled Nursing Facility,34.52278400,-117.29636200
206361191,GRAND TERRACE HEALTH CARE CENTER,240000143,Parent Facility,12000 MOUNT VERNON AVE,GRAND TERRACE,92313,36,San Bernardino,Not Applicable,59,Open,1965-03-29,Long Term Care Facility,Skilled Nursing Facility,34.03450600,-117.31381800
206361195,HERITAGE GARDENS HEALTH CARE CENTER,240000146,Parent Facility,25271 BARTON RD,LOMA LINDA,92354,36,San Bernardino,Not Applicable,110,Open,1966-01-11,Long Term Care Facility,Skilled Nursing Facility,34.04816300,-117.25288900
206361198,HIGHLAND PALMS HEALTHCARE CENTER,240000148,Parent Facility,7534 PALM AVE,HIGHLAND,92346,36,San Bernardino,Not Applicable,99,Open,1969-01-07,Long Term Care Facility,Skilled Nursing Facility,34.11376000,-117.20886000
206361199,HILLCREST NURSING HOME,240000149,Parent Facility,4280 CYPRESS DR,SAN BERNARDINO,92407,36,San Bernardino,Not Applicable,59,Open,1959-10-05,Long Term Care Facility,Skilled Nursing Facility,34.17473200,-117.31056500
206361221,MILL CREEK MANOR,240000158,Parent Facility,2278 NICE AVE,MENTONE,92359,36,San Bernardino,Not Applicable,50,Open,1959-07-14,Long Term Care Facility,Skilled Nursing Facility,34.06591000,-117.10588500
206361241,LAUREL CONVALESCENT HOSPITAL,240000166,Parent Facility,7509 LAUREL AVE,FONTANA,92336,36,San Bernardino,Not Applicable,99,Open,1954-10-01,Long Term Care Facility,Skilled Nursing Facility,34.11733450,-117.41293840
206361244,LINDA VALLEY CARE CENTER,240000167,Parent Facility,25383 COLE ST,LOMA LINDA,92354,36,San Bernardino,Not Applicable,83,Open,1964-07-24,Long Term Care Facility,Skilled Nursing Facility,34.05307000,-117.25062000
206361257,MEDICAL CENTER CONVALESCENT HOSPITAL,240000173,Parent Facility,467 E GILBERT ST,SAN BERNARDINO,92404,36,San Bernardino,Not Applicable,99,Open,1966-09-12,Long Term Care Facility,Skilled Nursing Facility,34.12670000,-117.27567000
206361265,MONTCLAIR MANOR CARE CENTER,240000175,Parent Facility,5119 BANDERA ST,MONTCLAIR,91763,36,San Bernardino,Not Applicable,59,Open,1963-11-13,Long Term Care Facility,Skilled Nursing Facility,34.06492000,-117.69377000
206361276,ONTARIO HEALTHCARE CENTER,240000181,Parent Facility,1661 S EUCLID AVE,ONTARIO,91762,36,San Bernardino,Not Applicable,59,Open,1958-01-01,Long Term Care Facility,Skilled Nursing Facility,34.04394000,-117.65064000
206361292,COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,240000185,Parent Facility,1676 Medical Center Dr,San Bernardino,92411,36,San Bernardino,Not Applicable,84,Open,1969-09-17,Long Term Care Facility,Skilled Nursing Facility,34.13026000,-117.32259000
206361299,LAS COLINAS POST ACUTE,240000187,Parent Facility,800 E 5TH ST,ONTARIO,91764,36,San Bernardino,Not Applicable,216,Open,1946-01-01,Long Term Care Facility,Skilled Nursing Facility,34.08146300,-117.63883300
206361301,PLYMOUTH VILLAGE,240000189,Parent Facility,819 SALEM DR,REDLANDS,92373,36,San Bernardino,Not Applicable,48,Open,1968-03-24,Long Term Care Facility,Skilled Nursing Facility,34.04405500,-117.17212900
206361311,RIMROCK VILLA CONVALESCENT HOSPITAL,240000193,Parent Facility,27555 RIMROCK RD,BARSTOW,92311,36,San Bernardino,Not Applicable,59,Open,1966-11-04,Long Term Care Facility,Skilled Nursing Facility,34.87736300,-117.05951500
206361331,SHANDIN HILLS BEHAVIOR THERAPY CENTER,240000201,Parent Facility,4164 N 4th Ave,San Bernardino,92407,36,San Bernardino,Not Applicable,78,Open,1966-04-29,Long Term Care Facility,Skilled Nursing Facility,34.17031000,-117.30927000
206361332,LEGACY POST-ACUTE REHABILITATION CENTER,240000202,Parent Facility,1335 N WATERMAN AVE,SAN BERNARDINO,92404,36,San Bernardino,Not Applicable,119,Open,1961-11-07,Long Term Care Facility,Skilled Nursing Facility,34.12355600,-117.27863300
206361333,VILLA MESA CARE CENTER,240000203,Parent Facility,867 E 11TH ST,UPLAND,91786,36,San Bernardino,Not Applicable,99,Open,1969-11-29,Long Term Care Facility,Skilled Nursing Facility,34.10354000,-117.63966000
206361350,COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,240000243,Parent Facility,9620 FREMONT AVE,MONTCLAIR,91763,36,San Bernardino,Not Applicable,140,Open,1966-04-08,Long Term Care Facility,Skilled Nursing Facility,34.07905000,-117.69399000
206361351,REDLANDS HEALTHCARE CENTER,240000211,Parent Facility,1620 W FERN AVE,REDLANDS,92373,36,San Bernardino,Not Applicable,78,Open,1966-04-25,Long Term Care Facility,Skilled Nursing Facility,34.03744000,-117.20257000
206361365,UPLAND REHABILITATION AND CARE CENTER,240000215,Parent Facility,1221 E ARROW HWY,UPLAND,91786,36,San Bernardino,Not Applicable,206,Open,1964-06-18,Long Term Care Facility,Skilled Nursing Facility,34.09993600,-117.63512500
206361366,VALLEY HEALTHCARE CENTER,240000216,Parent Facility,1680 N WATERMAN AVE,SAN BERNARDINO,92404,36,San Bernardino,Not Applicable,109,Open,1970-04-23,Long Term Care Facility,Skilled Nursing Facility,34.12974700,-117.27896500
206361378,WATERMAN CANYON POST ACUTE,240000223,Parent Facility,1850 N Waterman Ave,San Bernardino,92404,36,San Bernardino,Not Applicable,166,Open,1964-09-04,Long Term Care Facility,Skilled Nursing Facility,34.13197000,-117.27880000
206361383,CREEKSIDE CARE CENTER,240000224,Parent Facility,35253 AVENUE H,YUCAIPA,92399,36,San Bernardino,Not Applicable,59,Open,1966-07-22,Long Term Care Facility,Skilled Nursing Facility,34.01016300,-117.03555100
206364001,KNOLLS WEST POST ACUTE LLC,240000249,Parent Facility,16890 GREEN TREE BLVD,VICTORVILLE,92395,36,San Bernardino,Not Applicable,118,Open,1987-02-19,Long Term Care Facility,Skilled Nursing Facility,34.50023600,-117.29385400
206364035,YUCCA VALLEY NURSING,240000320,Parent Facility,57333 JOSHUA LN,YUCCA VALLEY,92284,36,San Bernardino,Not Applicable,99,Open,1989-02-02,Long Term Care Facility,Skilled Nursing Facility,34.09766300,-116.41142900
206364036,TERRACINA POST ACUTE,240000307,Parent Facility,1618 Laurel Ave,Redlands,92373,36,San Bernardino,Not Applicable,243,Open,1989-03-16,Long Term Care Facility,Skilled Nursing Facility,34.03823000,-117.20361000
206364042,ASISTENCIA VILLA REHABILITATION AND CARE CENTER,240000323,Parent Facility,1875 BARTON RD,REDLANDS,92373,36,San Bernardino,Not Applicable,99,Open,1989-07-17,Long Term Care Facility,Skilled Nursing Facility,34.04816300,-117.21671900
206364064,RECHE CANYON REGIONAL REHAB CENTER,240000394,Parent Facility,1350 RECHE CANYON RD,COLTON,92324,36,San Bernardino,Not Applicable,156,Open,1990-09-05,Long Term Care Facility,Skilled Nursing Facility,34.04701400,-117.28749400
206364080,APPLE VALLEY CARE CENTER,240000433,Parent Facility,11959 APPLE VALLEY RD,APPLE VALLEY,92308,36,San Bernardino,Not Applicable,99,Open,1991-09-17,Long Term Care Facility,Skilled Nursing Facility,34.47170000,-117.24228000
206364083,CEDAR MOUNTAIN POST ACUTE,240000441,Parent Facility,11970 4TH ST,YUCAIPA,92399,36,San Bernardino,Not Applicable,99,Open,1992-01-07,Long Term Care Facility,Skilled Nursing Facility,34.03641700,-117.05206500
206364097,HERITAGE PARK NURSING CENTER,240000465,Parent Facility,275 GARNET WAY,UPLAND,91786,36,San Bernardino,Not Applicable,70,Open,1992-07-01,Long Term Care Facility,Skilled Nursing Facility,34.09719000,-117.65505000
206364186,VETERANS HOME OF CALIFORNIA-BARSTOW,170000835,Parent Facility,100 VETERANS PKWY,BARSTOW,92311,36,San Bernardino,Not Applicable,180,Open,1996-07-10,Long Term Care Facility,Skilled Nursing Facility,34.86671000,-117.02310000
206364489,"CLAREMONT VILLA, INC.",550002511,Parent Facility,13290 Claremont Ave,Victorville,92392,36,San Bernardino,Not Applicable,6,Open,2014-05-01,Long Term Care Facility,Congregate Living Health Facility,34.49052000,-117.37333000
206364539,TRELLIS CHINO,550004296,Parent Facility,5454 Walnut Ave,Chino,91710,36,San Bernardino,Not Applicable,59,Open,2018-06-27,Long Term Care Facility,Skilled Nursing Facility,34.02636000,-117.68572000
206364579,CHINO AVENUE CONGREGATE HOME INC.,550003465,Parent Facility,3408 Chino Ave,Chino,91710,36,San Bernardino,Not Applicable,6,Open,2016-04-06,Long Term Care Facility,Congregate Living Health Facility,34.01159000,-117.73056000
206364580,"HILTON MANOR, LLC",550003708,Parent Facility,42 W Hilton Ave,Redlands,92373,36,San Bernardino,Not Applicable,6,Open,2016-11-10,Long Term Care Facility,Congregate Living Health Facility,34.03666000,-117.16781000
306360016,LOMA LINDA UNIVERSITY KIDNEY CENTER,240000011,Parent Facility,11375 ANDERSON ST,LOMA LINDA,92354,36,San Bernardino,Not Applicable,,Open,1977-12-19,Clinic,Chronic Dialysis Clinic,34.04680700,-117.26045600
306360029,UPLAND DIALYSIS,240000013,Parent Facility,600 N 13th Ave,Upland,91786,36,San Bernardino,Not Applicable,,Open,1978-04-28,Clinic,Chronic Dialysis Clinic,34.10076000,-117.63353000
306360055,VICTOR VALLEY DIALYSIS,240000022,Parent Facility,16049 Kamana Rd,Apple Valley,92307,36,San Bernardino,Not Applicable,,Open,1980-07-30,Clinic,Chronic Dialysis Clinic,34.54290000,-117.27125000
306360083,RAI - NORTH WATERMAN - SAN BERNARDINO,240000030,Parent Facility,1500 N Waterman Ave,San Bernardino,92404,36,San Bernardino,Not Applicable,,Open,1981-11-15,Clinic,Chronic Dialysis Clinic,34.12686000,-117.27881000
306360209,BLOOMINGTON COMMUNITY HEALTH CENTER,240000086,Parent Facility,18601 Valley Blvd,Bloomington,92316,36,San Bernardino,Not Applicable,,Open,1985-09-01,Clinic,Community Clinic,34.07045000,-117.39815000
306360377,TRI-STATE COMMUNITY HEALTHCARE CENTER,550004322,Parent Facility,11888 Bartlett Ave,Adelanto,92301,36,San Bernardino,Not Applicable,,Open,2018-08-09,Clinic,Community Clinic,34.57927000,-117.40683000
306360384,WELL OF HEALING MOBILE MEDICAL CLINIC II,550004233,Parent Facility,7625 East Ave,Fontana,92336,36,San Bernardino,Not Applicable,,Open,2018-05-01,Clinic,Free Clinic,34.11450000,-117.51455000
306360387,BARSTOW COMMUNITY HEALTH CENTER,550004282,Parent Facility,750 E Main St,Barstow,92311,36,San Bernardino,Not Applicable,,Open,2018-06-29,Clinic,Community Clinic,34.89866000,-117.01799000
306360454,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.",550004563,Parent Facility,268 McArthur Way,Upland,91786,36,San Bernardino,Not Applicable,,Open,2019-06-21,Clinic,Community Clinic,34.09703000,-117.67931000
306360456,CHINO VALLEY COMMUNITY HEALTH CENTER,550004600,Parent Facility,13193 Central Ave,Chino,91710,36,San Bernardino,Not Applicable,,Open,2019-06-20,Clinic,Community Clinic,34.01407000,-117.68917000
306360481,RANCHO SAN BERNARDINO DIALYSIS,550005064,Parent Facility,2015 N Riverside Ave,Rialto,92377,36,San Bernardino,Not Applicable,,Open,2019-09-11,Clinic,Chronic Dialysis Clinic,34.13723000,-117.36900000
306360488,REDLANDS DIALYSIS,550000524,Parent Facility,1722 Orange Tree Ln,Redlands,92374,36,San Bernardino,Not Applicable,,Open,2019-10-31,Clinic,Chronic Dialysis Clinic,34.06784000,-117.21362000
306360511,FRESENIUS KIDNEY CARE NORTH FONTANA,550005197,Parent Facility,16423 Sierra Lakes Pkwy,Fontana,92336,36,San Bernardino,Not Applicable,,Open,2019-12-30,Clinic,Chronic Dialysis Clinic,34.13787000,-117.44796000
306360548,PARKTREE COMMUNITY HEALTH CENTER,550004701,Parent Facility,2680 E Riverside Dr,Ontario,91761,36,San Bernardino,Not Applicable,,Open,2019-05-30,Clinic,Community Clinic,34.01875000,-117.59448000
306360900,VISTA DEL SOL DIALYSIS,550003822,Parent Facility,15002 Amargosa Rd,Victorville,92394,36,San Bernardino,Not Applicable,,Open,2017-02-21,Clinic,Chronic Dialysis Clinic,34.52395000,-117.33038000
306364023,LOMA LINDA AMBULATORY SURGICAL CENTER,240000308,Parent Facility,11332 Mountain View Ave,Loma Linda,92354,36,San Bernardino,Not Applicable,,Open,1987-07-01,Clinic,Surgical Clinic,34.04769000,-117.24366000
306364037,PLANNED PARENTHOOD/ORANGE-SAN BERNARDINO COUNTIES,240000321,Parent Facility,918 W Foothill Blvd,Upland,91786,36,San Bernardino,Not Applicable,,Open,1989-05-01,Clinic,Community Clinic,34.10629190,-117.66360650
306364077,DESERT CITIES DIALYSIS,240000431,Parent Facility,12675 Hesperia Rd,Victorville,92395,36,San Bernardino,Not Applicable,,Open,1991-07-29,Clinic,Chronic Dialysis Clinic,34.48141000,-117.29062000
306364100,RAI - INDIANA COURT- REDLANDS,240000470,Parent Facility,1210 Indiana Ct,Redlands,92374,36,San Bernardino,Not Applicable,,Open,1992-10-01,Clinic,Chronic Dialysis Clinic,34.06807000,-117.20574000
306364122,REDLANDS DENTAL SURGERY CENTER,240000513,Parent Facility,1180 Nevada St,Redlands,92374,36,San Bernardino,Not Applicable,,Open,1993-07-26,Clinic,Surgical Clinic,34.06801000,-117.21742000
306364124,CHINO DIALYSIS,240000523,Parent Facility,4445 Riverside Dr,Chino,91710,36,San Bernardino,Not Applicable,,Open,1993-11-02,Clinic,Chronic Dialysis Clinic,34.01891000,-117.70788000
306364196,SAC HEALTH SYSTEMS NORTON,240000666,Parent Facility,1454 E 2nd St,San Bernardino,92408,36,San Bernardino,Not Applicable,,Open,1996-09-20,Clinic,Community Clinic,34.10357000,-117.25643000
306364198,RAI - WEST C -  COLTON,240000703,Parent Facility,1275 W C St,Colton,92324,36,San Bernardino,Not Applicable,,Open,1997-10-08,Clinic,Chronic Dialysis Clinic,34.07413000,-117.34632000
306364208,DESERT CITIES DIALYSIS OF BARSTOW,240000702,Parent Facility,655 S 7th Ave,Barstow,92311,36,San Bernardino,Not Applicable,,Open,1997-10-21,Clinic,Chronic Dialysis Clinic,34.89148000,-117.01959000
306364240,FMC DIALYSIS SERVICES RANCHO CUCAMONGA,240000754,Parent Facility,10532 Acacia St,Rancho Cucamonga,91730,36,San Bernardino,Not Applicable,,Open,1999-12-20,Clinic,Chronic Dialysis Clinic,34.09003000,-117.57546000
306364241,RAI - NORTH RIVERSIDE - RIALTO,240000759,Parent Facility,1850 N Riverside Ave,Rialto,92376,36,San Bernardino,Not Applicable,,Open,2000-05-04,Clinic,Chronic Dialysis Clinic,34.13291000,-117.37047000
306364243,PLANNED PARENTHOOD - ORANGE AND SAN BERNARDINO CO. INC,240000770,Parent Facility,1873 Commercenter W,San Bernardino,92408,36,San Bernardino,Not Applicable,,Open,2000-08-24,Clinic,Community Clinic,34.06782000,-117.28612000
306364248,CHINO HILLS PRIMARY CARE CENTER,240000815,Parent Facility,2140 Grand Ave,Chino Hills,91709,36,San Bernardino,Not Applicable,,Open,2000-12-07,Clinic,Community Clinic,33.99657000,-117.75761000
306364258,FMC DIALYSIS SERVICES OF SAN BERNARDINO,240000835,Parent Facility,636 E Brier Dr,San Bernardino,92408,36,San Bernardino,Not Applicable,,Open,2001-12-04,Clinic,Chronic Dialysis Clinic,34.07053000,-117.27153000
